Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year,,,,,,,
354, Sey,Stakeholder perception on factors influencing NGO collaboration with government in health education in the Tema Metropolis,0,2013, ir.ucc.edu.gh,,https://ir.ucc.edu.gh/xmlui/handle/123456789/2880,0,,,,,,,
27,"Kiani, J Kiani, M Zolfaghari",Conditional Generative Adversarial Networks for Inverse Design of Multifunctional Metasurfaces,0,2022, Wiley Online Library, Advanced Photonics Research,https://onlinelibrary.wiley.com/doi/abs/10.1002/adpr.202200110,0,,,,,,,
23, Piercy,Improving Impulse Audio Source Separation using Generative Adversarial Networks for Phase Generation,0,2021, dspace.mit.edu,,https://dspace.mit.edu/handle/1721.1/138956,0,,,,,,,
370,Buranello,"From the locus amoenus to the locus ambiguus, Sperone Speroni and the setting of Renaissance dialogue",2,0,lac.gc.ca,,https://www.bac-lac.gc.ca/eng/services/theses/Pages/item.aspx?idNumber=1007020713,0,,,,,,,
369,"Shaikh, S Krishnan, R Thanki",Artificial Intelligence and Learning Algorithms,0,2021, Springer, … in Breast Cancer Early Detection and …,https://link.springer.com/chapter/10.1007/978-3-030-59208-0_3,0,,,,,,,
368,Early,Coliform Testing in I^ Aarine l\/lammal Holding Pools,1,1998, books.google.com, Marine Mammal Water Quality: Proceedings of a …,https://books.google.com/books?hl=en&lr=&id=nUpvDp7jkyQC&oi=fnd&pg=PA33&dq=(gan+OR+adversarial+OR+(generative+and+adversarial+and+net*))+AND+magnetohydrodynamics&ots=kRRTHeacwa&sig=dVkH-ZQ7mjghT3Hy-tFSFB8Dzas,0,,,,,,,
367, Harney,The Enemy's Access Denial System: Potential Competitor Exploitation of US Military Vulnerabilities.,4,2000, core.ac.uk,,https://core.ac.uk/download/pdf/36707179.pdf,0,,,,,,,
24,"Khaled, JJ Han",A Comprehensive Comparison of Medical Image Segmentation Models Using GAN: A Survey,0,0, researchgate.net,A Khaled,https://www.researchgate.net/profile/Afifa-Khaled/publication/357366038_A_Comprehensive_Comparison_of_Medical_Image_Segmentation_Models_Using_GAN_A_Survey/links/6205d20887866404a15eb001/A-Comprehensive-Comparison-of-Medical-Image-Segmentation-Models-Using-GAN-A-Survey.pdf,0,,,,,,,
395,"CARTER, D CHATHAM",HOUSE COMMITTEE ON URBAN AFFAIRS TEXAS HOUSE OF REPRESENTATIVES INTERIM REPORT 2002,0,2000, house.texas.gov,,https://house.texas.gov/_media/pdf/committees/reports/77interim/urban_affairs.pdf,0,,,,,,,
364,Feiger,Investigating Vascular Disease Treatment and Progression Using Multiscale Hemodynamic Modeling and Machine Learning Algorithms,0,2021, search.proquest.com,,https://search.proquest.com/openview/18710b9383c5555867896f15aa20b811/1?pq-origsite=gscholar&cbl=18750&diss=y,0,,,,,,,
363,Novak,Policy and Design Courses of Action to Improve Resilience of Proliferated Low Earth Orbit Constellations Against Adverse Solar Weather,0,2022, dspace.mit.edu,,https://dspace.mit.edu/handle/1721.1/144977,0,,,,,,,
362,Swadling,An Optical Interferometry Diagnostic for Hohlraum Plasma Characterization Experiments on the National Ignition Facility,0,0,annual.llnl.gov,,https://ldrd-annual.llnl.gov/archives/ldrd-annual-2018/hed/erd/17-ERD-072,0,,,,,,,
361,Fenech,Managing risks within international hotel construction projects,0,2006, search.proquest.com,,https://search.proquest.com/openview/b5f751a28c89e5971d1ba974e542ec42/1?pq-origsite=gscholar&cbl=2026366&diss=y,0,,,,,,,
360, Segletes,Model Employee: My 40 Years of Scientific Modeling as a US Army Terminal Ballistician,0,0, apps.dtic.mil,,https://apps.dtic.mil/sti/pdfs/AD1148412.pdf,0,,,,,,,
359,S Al Sariri,Candy Abboud (Glasgow),0,0, sites.google.com,,https://sites.google.com/view/bmcbamc2021/abstracts/abstracts-minisymposium,0,,,,,,,
358," Wang, Q Ye, L Fu, GX Meng, JQ Wang…",Solving Surface Deformation of Radio Telescope Antenna by Artificial Neural Network,0,2022, iopscience.iop.org, … in Astronomy and …,https://iopscience.iop.org/article/10.1088/1674-4527/ac449d/meta,0,,,,,,,
356, Reeves,Gaussian Process Modeling for Upsampling Algorithms With Applications in Computer Vision and Computational Fluid Dynamics,0,2020, search.proquest.com,,https://search.proquest.com/openview/fbf8f1868200f936fe1874c81d2c3071/1?pq-origsite=gscholar&cbl=18750&diss=y,0,,,,,,,
394,Baylis,CHAPTER FOURTEEN: MENTAL HEALTH LAW,0,0, lslap.bc.ca,,https://www.lslap.bc.ca/uploads/2/9/3/5/29358111/lslap_manual_ch_14_-_mental_health_law.pdf,0,,,,,,,
409,F Beebe,A Complete Bibliography of ACM Transactions on Cyber-Physical Systems (TCPS),0,2022, ctan.math.utah.edu,,ftp://ctan.math.utah.edu/texcollection/doc/french/texlive-fr/tex/bib/tcps.pdf,0,,,,,,,
396, Pitt,Music Licensing Process,0,2015, Springer, Direct Licensing and the Music Industry,https://link.springer.com/chapter/10.1007/978-3-319-17653-6_2,0,,,,,,,
454, Johnson,"Energy technology review, July--August 1991",2,1991, osti.gov,,https://www.osti.gov/biblio/6149830,0,,,,,,,
461, Heß,Mirzə Şəfi Vazeh und Friedrich von Bodenstedt,0,2020, degruyter.com,Bir ṣadbarg lāla,https://www.degruyter.com/document/doi/10.1515/9783112209240/pdf#page=169,0,,,,,,,
460, Luštická,Bezplatné noviny jako nový segment tiskového trhu,0,0, is.muni.cz,,https://is.muni.cz/th/jswui/Diplomova_prace_Lusticka.pdf,0,,,,,,,
459," Alam, ZD Wu",On Analysing Cost for Optimizing the Watcher Subscription Time in the IMS Presence Service,1,2006, engineeringletters.com, Engineering Letters,http://www.engineeringletters.com/EL_reference_complied.txt,0,,,,,,,
458, Chamberlin,"The marvelous as allegory in Ulrich von Zatzikhoven's"" Lanzelet""",2,1997, search.proquest.com,,https://search.proquest.com/openview/8e371f45d080a567516d4d6dc05c4fd6/1?pq-origsite=gscholar&cbl=18750&diss=y,0,,,,,,,
457, Hian,An inquiry into the problem of the Mal'akh Yahweh in the Old Testament,0,1962, search.proquest.com,,https://search.proquest.com/openview/d24f46504d94a114dcc72e89e2549ec9/1?pq-origsite=gscholar&cbl=2026366&diss=y,0,,,,,,,
4,"Chen, Y Sun, Z Fang, W Lin, G Li, L Wang…",Harmonized neonatal brain MR image segmentation model for cross-site datasets,1,2021, Elsevier, … Signal Processing and …,https://www.sciencedirect.com/science/article/pii/S1746809421004079,0,,,,,,,
5,"Niu, B Li, X Wang, Y Peng",Region-and Strength-Controllable GAN for Defect Generation and Segmentation in Industrial Images,1,2021, ieeexplore.ieee.org, IEEE Transactions on Industrial …,https://ieeexplore.ieee.org/abstract/document/9612006/,0,,,,,,,
453, Thereto,Scaling Social Enterprises Through Franchise Models: Rethinking Social Franchise,0,2020, HeinOnline, UMKC LAW REVIEW,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/umkc88&section=35,0,,,,,,,
397,Oestringer,Chair for Dynamics/Mechatronics-Publications,0,2009, itm.kit.edu, Nonlinear Dynamics,https://www.itm.kit.edu/english/dynamik/Publications.php,0,,,,,,,
452,Jenčová,Matematický ústav SAV,0,0, mat.savba.sk,,https://www.mat.savba.sk/musav/reports/2017/MU_SAV_Annual_Report_2017-final.rtf,0,,,,,,,
451,W ATLANTIS,LA RIVISTA,0,2013, cyberbrain.eu,,http://www.cyberbrain.eu/docs/other_publications/workshop.pdf,0,,,,,,,
450,Wijayanti,Critical analysis on legal aid regulation for marginal community based on legal language,13,0,surabaya.ac.id,,http://repository.um-surabaya.ac.id/4051/,0,,,,,,,
449,Hefei,Could not catch title,0,2007, Citeseer,,"Look manually at: https://scholar.google.com/scholar?start=440&q=(gan+OR+adversarial+OR+(generative+and+adversarial+and+net*))+AND+magnetohydrodynamics&hl=en&as_sdt=0,5",0,,,,,,,
448,"Paterra, M Gabel, R Frenchman, B Ashley, D Mitchell…",Could not catch title,0,0, Citeseer,M Paterra  M Gabel  R Frenchman  B Ashley,"Look manually at: https://scholar.google.com/scholar?start=440&q=(gan+OR+adversarial+OR+(generative+and+adversarial+and+net*))+AND+magnetohydrodynamics&hl=en&as_sdt=0,5",0,,,,,,,
447, Lauria,Virtuality: Inside information. Virtual reality: An interface concept,1,2000, search.proquest.com,,https://search.proquest.com/openview/f84f598a2f3bd103398ede28b9d7323e/1?pq-origsite=gscholar&cbl=18750&diss=y,0,,,,,,,
446, Martine,The solar transition region: High resolution FUV-EUV imaging and modeling of unresolved coronal funnels as observed with the multi-spectral solar telescope …,1,2000, search.proquest.com,,https://search.proquest.com/openview/022c38f8b06dbf273487ef414bccb4ec/1?pq-origsite=gscholar&cbl=18750&diss=y,0,,,,,,,
462,Hoad,The utility of electromagnetic attack detection to information security,1,2007, search.proquest.com,,https://search.proquest.com/openview/136f6505fbce0120a96335f47cf9389a/1?pq-origsite=gscholar&cbl=51922,0,,,,,,,
463,"Aust, A Bertl, A Byaly, A Erzurumluoglu, K Lilly…",Doctoral Degrees Conferred,0,0, ams.org,,https://www.ams.org/2016Degrees.pdf,0,,,,,,,
464,Rafailovitc,Collaborating homeless outreach in Broward County: a law enforcement and social services engagement,2,2018, nsuworks.nova.edu,,https://nsuworks.nova.edu/shss_dcar_etd/84/,0,,,,,,,
465, Tsipis,Managing the development of the real estate portfolios of state transportation authorities in the Boston area,0,2002, dspace.mit.edu,,https://dspace.mit.edu/handle/1721.1/17546,0,,,,,,,
480,"Varjabedian, SA Dussart, WJ McClary, JA Rich",Publications of Los Alamos research 1988,0,1989, osti.gov,,https://www.osti.gov/biblio/5316992,0,,,,,,,
479,F Beebe,A Complete Bibliography of Publications in the Journal of Mathematical Physics: 2015–2019,0,2022, netlib.org,,http://www.netlib.org/tex/bib/jmathphys2015.pdf,0,,,,,,,
478,"Gupta, L Singh, R Tiwari",Wormhole attack detection techniques in ad-hoc network: A systematic review,0,2022, degruyter.com, Open Computer Science,https://www.degruyter.com/document/doi/10.1515/comp-2022-0245/html,0,,,,,,,
477," Donlan, J Mair","Comparative Law: Mixes, Movements, and Metaphors",2,2019, books.google.com,,https://books.google.com/books?hl=en&lr=&id=o0LBDwAAQBAJ&oi=fnd&pg=PT5&dq=(gan+OR+adversarial+OR+(generative+and+adversarial+and+net*))+AND+magnetohydrodynamics&ots=yHXZk-esLs&sig=Rdnvk07QYce-ew4A_v4a_EKRLAg,0,,,,,,,
476, Clipson,"Sustainable living: A case study of nuns and their beliefs, attitudes and practices",0,2000, search.proquest.com,,https://search.proquest.com/openview/a2207fff795df20548e5f8d1c2460945/1?pq-origsite=gscholar&cbl=18750&diss=y,0,,,,,,,
475, Harvey,A study of the Middle High German versnovelle: Moriz von Craun with special reference to its literary and cultural background,0,1959, search.proquest.com,,https://search.proquest.com/openview/75a83a7cc403b7ff2f68ae1382990bda/1?pq-origsite=gscholar&cbl=2026366&diss=y,0,,,,,,,
474, Mack,LEGAL CHANGE AND SOCIAL STRUCTURE: THE POLITICS OF LAW IN EASTERN SUDAN (BENI AMER),1,1986, search.proquest.com,,https://search.proquest.com/openview/6c4386d33b010a952a32fed93137f3a8/1?pq-origsite=gscholar&cbl=18750&diss=y,0,,,,,,,
473,"Mohlin, G Bianchi, J Sullivan",Probabilistic Regression with Huber Distributions,0,2021, arxiv.org, arXiv preprint arXiv:2111.10296,https://arxiv.org/abs/2111.10296,0,,,,,,,
472, Washingto,Protective Multi-level Factors in Adolescents of Mothers with Mental Disorders,1,2018, search.proquest.com,,https://search.proquest.com/openview/0f8e7f9880d56746f2a73511ed2240f0/1?pq-origsite=gscholar&cbl=18750,0,,,,,,,
471,F Beebe,A Complete Bibliography of Publications in Journal of Computational Physics: 2015–2019,0,2022, 155.101.98.136,,ftp://155.101.98.136/pub/tex/bib/jcomputphys2015.pdf,0,,,,,,,
470," Brunton, JN Kutz",Targeted Use of Deep Learning for Physics and Engineering,0,0, taylorfrancis.com,,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003143376-2/targeted-use-deep-learning-physics-engineering-steven-brunton-nathan-kutz,0,,,,,,,
469,F Beebe,A Bibliography of Publications in IEEE Computer Graphics and Applications,0,2022, 155.101.98.136,,ftp://155.101.98.136/public_html/public_html/pub/tex/bib/ieeecga.pdf,0,,,,,,,
468,Carling,Damsel in Distress or Princess in Power? Traditional Masculinity and Femininity in Young Adult Novelizations of Cinderella and the Effects on Agency,0,2020, search.proquest.com,,https://search.proquest.com/openview/e01f8f58e048b0053b268d747c6e938d/1?pq-origsite=gscholar&cbl=18750&diss=y,0,,,,,,,
467, Shellabear,Could not catch title,11,1916, Methodist Publishing House,,"Look manually at: https://scholar.google.com/scholar?start=460&q=(gan+OR+adversarial+OR+(generative+and+adversarial+and+net*))+AND+magnetohydrodynamics&hl=en&as_sdt=0,5",0,,,,,,,
466,PRACTICAL,Syllabus for B. Tech (Electronics & Communication Engineering) Up to Fourth Year,0,0, nsec.ac.in,,http://www.nsec.ac.in/images/ece_B-Tech.pdf,0,,,,,,,
444,Santo,"Reuse, temporal dynamics, interest sharing, and collaboration in social tagging systems",4,2013, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/1301.6191,0,,,,,,,
443,"Gupta, S Ghatak, A Gupta, AL Mukherjee",Artificial Intelligence on Medical Data,0,0, Springer,M Gupta  S Ghatak  A Gupta,https://link.springer.com/content/pdf/10.1007/978-981-19-0151-5.pdf,0,,,,,,,
442,D Neville,"The chalice of the flesh: The soteriology of the body in Mechthild von Magdeburg's"" Das fliessende Licht der Gottheit""",1,2002, search.proquest.com,,https://search.proquest.com/openview/8801376925f2e29b214c3c8cfd3ed475/1?pq-origsite=gscholar&cbl=18750&diss=y,0,,,,,,,
12,"Esmaeilishahmirzadi, H Mortezapour",A novel method for enhancing the classification of pulmonary data sets using generative adversarial networks,2,2018, researchgate.net, Biomedical Research,https://www.researchgate.net/profile/Hamidreza-Mortezapour/publication/327438985_A_novel_method_for_enhancing_the_classification_of_pulmonary_data_sets_using_generative_adversarial_networks/links/5cb5cd3b4585156cd79b317f/A-novel-method-for-enhancing-the-classification-of-pulmonary-data-sets-using-generative-adversarial-networks.pdf,0,,,,,,,
415,Remington,Making Sense of “Insanity”: A Genealogy of Canada's Not Criminally Responsible Subject,0,2022, curve.carleton.ca,,https://curve.carleton.ca/a002c46c-d705-4a91-8150-afc64e66b924,0,,,,,,,
413,"YANIK, Y ALTUN",STANDART VE TERMAL KAMERA GÖRÜNTÜLERİNDEN DERİN ÖĞRENME KULLANILARAK DRONE TESPİTİ,0,0, researchgate.net,O YANIK,https://www.researchgate.net/profile/Doc-Dr-Yusuf-Altun/publication/357151806_Drone_Detection_using_Deep_Learning_from_Images_of_Standard_and_Thermal_Camera/links/61c6151cb8305f7c4bfb6678/Drone-Detection-using-Deep-Learning-from-Images-of-Standard-and-Thermal-Camera.pdf,0,,,,,,,
412,"Deniston, L Fa",Planetary Defense: An Extraterrestrial Imperative,1,0,bueso.de,,http://archiv-bueso.de/files/pdf/2012/GalacticDefensePrintDraft_0.pdf,0,,,,,,,
411, Dieterich,Emerging options in project delivery and finance: Tren Urbano and Massport's intermodal transit connector,3,1998, dspace.mit.edu,,https://dspace.mit.edu/bitstream/handle/1721.1/10030/39058269-MIT.pdf?sequence=2,0,,,,,,,
410,C Thony,Fibre supply issues of the British Columbia log home manufacturing industry,0,2004, open.library.ubc.ca,,https://open.library.ubc.ca/soa/cIRcle/collections/831/831/items/1.0074985,0,,,,,,,
329,Chen,Physics Informed Learning for Dynamic Modeling of Beam Structures,0,2020, repository.lib.ncsu.edu,,https://repository.lib.ncsu.edu/bitstream/handle/1840.20/37410/etd.pdf?sequence=1,0,,,,,,,
407, Haynes,An exploration of the nexus of the public and private sectors in the project management organizations for two Boston megaprojects: The Central Artery/Tunnel Project …,4,2002, search.proquest.com,,https://search.proquest.com/openview/ad6e47e7d49c0734754aa1b110ae6fa0/1?pq-origsite=gscholar&cbl=18750&diss=y,0,,,,,,,
406,Abraham,Prädikative Kopula+ Infinitiv-Formen und ihre Funktionen im Deutschen. Die Kopula unter Bühlerscher Desambigierung,4,2015, degruyter.com, Glottotheory,https://www.degruyter.com/document/doi/10.1515/glot-2015-0014/html?lang=de,0,,,,,,,
405," Nagaraja, W Stechele",L2PF-Learning to Prune Faster,0,2021, books.google.com,6 …,https://books.google.com/books?hl=en&lr=&id=W-4lEAAAQBAJ&oi=fnd&pg=PA249&dq=(gan+OR+adversarial+OR+(generative+and+adversarial+and+net*))+AND+magnetohydrodynamics&ots=Co1OLqLdTI&sig=f27mLhUMViZbdajDBNh_1L9biqY,0,,,,,,,
403,"Deniston, L Fa",Planetary Defense,0,2000, larouchepub.com, Technology,https://www.larouchepub.com/eiw/public/2012/eirv39n15-20120413/04-42_3915.pdf,0,,,,,,,
402," Culberson, JD Baker","Cameron synthetic fuels report, v. 18 no. 3",0,2007, mountainscholar.org,,https://mountainscholar.org/handle/11124/71077,0,,,,,,,
401," Newman, SM Wander",System Failure Case Studies,0,2018, emerald.com, Harnessing the Power of Failure: Using …,https://www.emerald.com/insight/content/doi/10.1108/978-1-78754-199-320181002,0,,,,,,,
400, Nettles,"Exploring the Strategies Nonprofit Social Entrepreneurs Need to Expand a Social Enterprise in Baton Rouge, LA",0,2021, search.proquest.com,,https://search.proquest.com/openview/cd3396a8f8edfba2c1eeb8547d1844d3/1?pq-origsite=gscholar&cbl=18750&diss=y,0,,,,,,,
399,Powell,English in Asian Legal Systems,0,2020, Wiley Online Library, The Handbook of Asian Englishes,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781118791882.ch38,0,,,,,,,
398,A Fulenwider,Dynamic planning and control for large-scale infrastructure projects: route 3N as a case study,3,2002, dspace.mit.edu,,https://dspace.mit.edu/bitstream/handle/1721.1/84788/50472685-MIT.pdf?sequence=2,0,,,,,,,
416,Kurdi,Toward an Electronic Resource for Systematic Reviews in Computer Science,0,2022, researchgate.net,,https://www.researchgate.net/profile/Ghader-Kurdi/publication/361779982_Toward_an_Electronic_Resource_for_Systematic_Reviews_in_Computing/links/632d76822a4bdc07eb33c529/Toward-an-Electronic-Resource-for-Systematic-Reviews-in-Computing.pdf,0,,,,,,,
418,Knight,Could not catch title,2,1999, Citeseer, Espionage  Intelligence  and Security,"Look manually at: https://scholar.google.com/scholar?start=410&q=(gan+OR+adversarial+OR+(generative+and+adversarial+and+net*))+AND+magnetohydrodynamics&hl=en&as_sdt=0,5",0,,,,,,,
441,Powell,Political and Economic Influences on Multilingualism and Multijuralism,1,2020, Springer, Language Choice in Postcolonial Law,https://link.springer.com/chapter/10.1007/978-981-15-1173-8_2,0,,,,,,,
420,"Silva, E Kavazanjian",Judgment and Innovation,0,2000, ascelibrary.org,,https://ascelibrary.org/doi/pdf/10.1061/9780784405376?download=true,0,,,,,,,
440,"Shresta, SMNA Senanayake…",Advanced Cascaded Anisotropic Convolutional Neural Network Architecture Based Optimized Feature Selection Brain Tumour Segmentation and Classification,1,2020, ieeexplore.ieee.org, 2020 5th International …,https://ieeexplore.ieee.org/abstract/document/9371807/,0,,,,,,,
439, Wilson King,Knowing the self with chronic pain: women's experiences and interactions with health care professionals.,0,0,lac.gc.ca,,https://www.bac-lac.gc.ca/eng/services/theses/Pages/item.aspx?idNumber=46574974,0,,,,,,,
437, Prater,Listening to the stories of American Indians at Oregon State Hospital,1,2012, researchgate.net,,https://www.researchgate.net/profile/Cynthia-Prater/publication/318659569_Listening_to_the_stories_of_American_Indians_at_Oregon_State_Hospital/links/59761a910f7e9b4016bc15d6/Listening-to-the-stories-of-American-Indians-at-Oregon-State-Hospital.pdf,0,,,,,,,
436,"Couto, P Mc Clure, S McFadden…",Thematic analysis of the competencies of the therapy radiographer practising in the linear accelerator,1,2019, pure.ulster.ac.uk, … of Radiology 2019 …,https://pure.ulster.ac.uk/ws/files/77733553/2019_Article_ECR2019BookOfAbstracts.pdf,0,,,,,,,
435," Kamarposhti, I Colak…",Optimum operation management of microgrids with cost and environment pollution reduction approach considering uncertainty using multi‐objective NSGAII algorithm,0,2022, Wiley Online Library, IET Renewable …,https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/rpg2.12579,0,,,,,,,
434,Tahir,Deep Learning for Large-Scale Holographic 3D Particle Localization and Two-Photon Angiography Segmentation,0,2021, search.proquest.com,,https://search.proquest.com/openview/e5bf2ef626d1bb263c8a33914f415961/1?pq-origsite=gscholar&cbl=18750&diss=y,0,,,,,,,
433, Roche,Snake Fish: The Chi Mak Spy Ring,4,2008, books.google.com,,https://books.google.com/books?hl=en&lr=&id=8WBbPSfFXqIC&oi=fnd&pg=PR7&dq=(gan+OR+adversarial+OR+(generative+and+adversarial+and+net*))+AND+magnetohydrodynamics&ots=eh81uUP_kq&sig=BqqXHoYuG2sOTaaHERbPNJkQPJg,0,,,,,,,
431,Cappannelli,The Impact of Organizational Leadership upon Premature Attrition in Homeland Security Investigations,0,2018, search.proquest.com,,https://search.proquest.com/openview/8007bdec220214fac8413b24adf2379f/1?pq-origsite=gscholar&cbl=18750,0,,,,,,,
429,"Platzer, F Brenner, M Steinebach",2.1 Darknet and Tor,0,0, journals.riverpublishers.com,F Platzer  F Brenner,https://journals.riverpublishers.com/index.php/JCSANDM/article/download/12757/11523?inline=1,0,,,,,,,
427, Shelley,Space technology research and development (mission suitability proposal–volume i) industrial-university partnership to support nasa ames space technology,0,0, textarchive.ru,,https://textarchive.ru/c-1846542-pall.html,0,,,,,,,
426, Panesar,Worlds elsewhere: studies in some late nineteenth-century and early twentieth-century romance,1,2003, theses.gla.ac.uk,,https://theses.gla.ac.uk/1502/,0,,,,,,,
425,BUCHANAN,Immigration DA,2,2008, opencaselist12.paperlessdebate …, On the Issues,https://opencaselist12.paperlessdebate.com/download/Wayne+State/Justice-Slaw+Neg/Wayne%20State-Justice-Slaw-All%20Neg-NDT-Round2.docx,0,,,,,,,
424," Board, National Research Council",A Space Physics Paradox: Why Has Increased Funding Been Accompanied by Decreased Effectiveness in the Conduct of Space Physics Research?,2,1994, books.google.com,,https://books.google.com/books?hl=en&lr=&id=g3V_fqi0y3oC&oi=fnd&pg=PR12&dq=(gan+OR+adversarial+OR+(generative+and+adversarial+and+net*))+AND+magnetohydrodynamics&ots=vQoOARqx-M&sig=VIn4UIKruMrD-XdGgS7vM4EJVOM,0,,,,,,,
423,Kurdi,Toward an Electronic Resource for Systematic Reviews in Computing,0,2022, researchgate.net,,https://www.researchgate.net/profile/Ghader-Kurdi/publication/361779982_Toward_an_Electronic_Resource_for_Systematic_Reviews_in_Computing/links/6340b0d99cb4fe44f30f9dd7/Toward-an-Electronic-Resource-for-Systematic-Reviews-in-Computing.pdf,0,,,,,,,
422,WNORG AU,Mental Health & Suicide Prevention Service,0,0, ntmhc.org.au,,https://www.ntmhc.org.au/wp-content/uploads/2017/12/Final-Report-Mental-Health-Suicide-Prevention-Service-Review-2017-2.pdf,0,,,,,,,
330,Chen,Physics-informed Artificial Neural Networks for Dynamic Modeling of Structures,0,2020, search.proquest.com,,https://search.proquest.com/openview/24e535d943d8bd1cb3b3606217f0455d/1?pq-origsite=gscholar&cbl=18750&diss=y,0,,,,,,,
312,"Fabelo, C Reynolds, J Tyler",Harris County Public Defender: Preliminary Report on Operations and Outcomes,2,2012, tidc.tamu.edu, Council of State Governments Justice …,http://tidc.tamu.edu/DGReportDocuments/212-12-D03%20HC%20PDO%20Report%20from%20Justice%20Center%2010%2019%2012.pdf,0,,,,,,,
36,Nesvold,Building informative priors for the subsurface with generative adversarial networks and graphs,2,2019, search.proquest.com,,https://search.proquest.com/openview/51d2f044fc4bc8f470a4b20b7f26c27b/1?pq-origsite=gscholar&cbl=18750&diss=y,0,,,,,,,
99,Abhishek,Input space augmentation for skin lesion segmentation in dermoscopic images,0,2020, summit.sfu.ca,,https://summit.sfu.ca/item/20247,0,,,,,,,
96,"Singh, E Garza, A Chopra, P Vepakomma, V Sharma…",Sanitizer: Sanitizing data for anonymizing sensitive information,0,2021, openreview.net,,https://openreview.net/forum?id=3ZuLmU7zBpy,0,,,,,,,
211,"Davids, H Ashrafian",AIM in Nanomedicine,0,2020, Springer, Artificial Intelligence in Medicine,https://link.springer.com/content/pdf/10.1007/978-3-030-58080-3_240-1.pdf,0,,,,,,,
210,， 苗军， 齐洪钢， 刘艳， 郭志军…,肺结节图像的计算机自动检测研究进展,0,2021, hanspub.org, Computer Science and …,https://www.hanspub.org/journal/PaperInformation.aspx?paperID=40094,0,,,,,,,
209,"De Ryck, S Mishra, R Molinaro",Weak physics informed neural networks for approximating entropy solutions of hyperbolic conservation laws,0,2022, sam.math.ethz.ch, SAM Research Report,https://www.sam.math.ethz.ch/sam_reports/reports_final/reports2022/2022-35.pdf,0,,,,,,,
208,Gatens,Mental health disorders and the criminal justice system: A continuum of evidence-informed practices,1,2019, icjia.illinois.gov,,https://icjia.illinois.gov/mhcontinuum/print-friendly,0,,,,,,,
207,"Zhang, P Meng, W Yin, H Liu",A neural network method for time-dependent inverse source problem with limited-aperture data,0,2023, Elsevier, Journal of Computational and Applied …,https://www.sciencedirect.com/science/article/pii/S037704272200440X,0,,,,,,,
206,昌， 仲国强， 毛玉旭,面向轻量化医学图像分割网络的神经结构搜索,0,0, jsjkx.com,,https://www.jsjkx.com/CN/abstract/abstract21053.shtml,0,,,,,,,
204,"Sarrut, M Ljungberg",Monte Carlo Simulation of Nuclear Medicine Imaging Systems,0,0, taylorfrancis.com,,https://www.taylorfrancis.com/chapters/edit/10.1201/9780429489556-29/monte-carlo-simulation-nuclear-medicine-imaging-systems-david-sarrut-michael-ljungberg,0,,,,,,,
327,KARABULUT,CONGRESS BOOK (II),0,0, researchgate.net,,https://www.researchgate.net/profile/Cem-Donmez-2/publication/357557223_MULTI_CRITERIA_WAREHOUSE_LOCATION_SELECTION_USING_TOPSIS_TECHNIQUE_IN_RETAIL_INDUSTRY/links/61d4371ee669ee0f5c842281/MULTI-CRITERIA-WAREHOUSE-LOCATION-SELECTION-USING-TOPSIS-TECHNIQUE-IN-RETAIL-INDUSTRY.pdf,0,,,,,,,
104,"Fujinaka, T Ohta, J Funasaka",CANDARW 2020,0,0, computer.org,H Fujinaka  T Ohta,https://www.computer.org/csdl/proceedings-article/candarw/2020/991900z005/1rqECvjaaT6,0,,,,,,,
105,璇， 李大林， 彭晓东， 孙天然,基于对抗神经网络有限角度的磁层边界 CT 重构技术,0,2021, cjss.ac.cn, 空间科学学报,https://www.cjss.ac.cn/cn/article/Y2021/I4/546,0,,,,,,,
106," Ashraf, WM Elmedany…",Secure IoT Data Transmission at Physical Layer using RC6 Encryption Technique,0,2022, ieeexplore.ieee.org, 2022 9th International …,https://ieeexplore.ieee.org/abstract/document/9910547/,0,,,,,,,
199," Trinh, VT Pham, TT Tran",A Deep Learning-Based Approach with Semi-supervised Level Set Loss for Infant Brain MRI Segmentation,0,2023, Springer, Pervasive Computing and Social …,https://link.springer.com/chapter/10.1007/978-981-19-2840-6_41,0,,,,,,,
198,， 杨锋， 马金刚,深度学习方法在肺结节诊断中的应用,1,2021, opticsjournal.net, 激光与光电子学进展,https://www.opticsjournal.net/Articles/OJbe13a00e183a2f02/FullText,0,,,,,,,
197,"N Joshua, D Bhattacharyya, M Chakkravarthy",Lung nodule semantic segmentation with bi-direction features using U-INET,0,0, jmpas.com,ESN Joshua  D Bhattacharyya,https://jmpas.com/admin/assets/article_issue/1634495411JMPAS_SEPTEMBER-OCTOBER_2021.pdf,0,,,,,,,
111,"Siemiginowska, G Eadie, I Czekala…",Astro2020 Science White Paper: The Next Decade of Astroinformatics and Astrostatistics,1,2019, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/1903.06796,0,,,,,,,
